DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 12:52:53.574,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
13282066,0.5404,0.3694,-0.4197,0.6288,-0.0456,-0.5533,-0.0036,0
13282233,0.5394,0.3705,-0.4193,0.6293,-0.2954,0.3520,-0.3393,0
13282400,0.5400,0.3698,-0.4177,0.6302,-0.3293,0.7570,-0.1111,0
13282566,0.5417,0.3678,-0.4163,0.6308,-0.2192,0.2081,0.3057,0
13282733,0.5421,0.3675,-0.4173,0.6300,-0.2402,-0.1182,0.3146,0
13282900,0.5424,0.3671,-0.4181,0.6294,-0.2060,-0.0146,-0.3366,0
13283066,0.5425,0.3672,-0.4179,0.6294,-0.6005,-1.0007,-0.5377,0
13283233,0.5424,0.3675,-0.4169,0.6300,-0.5996,0.0048,-0.1823,0
13283400,0.5431,0.3670,-0.4159,0.6304,-0.0466,0.3581,-0.0444,0
13283566,0.5440,0.3661,-0.4146,0.6310,-0.1134,-0.1564,-0.1315,0
13283733,0.5453,0.3651,-0.4129,0.6316,0.0796,0.0802,-0.4109,0
13283900,0.5472,0.3635,-0.4103,0.6325,-0.0926,0.1900,-0.3373,0
13284066,0.5495,0.3617,-0.4072,0.6336,-0.2556,-0.1875,-0.2139,0
13284233,0.5504,0.3615,-0.4049,0.6343,-0.5232,-0.8904,-0.0442,0
13284400,0.5518,0.3590,-0.3999,0.6377,-0.5154,-0.9380,-0.0582,0
13284566,0.5542,0.3553,-0.3939,0.6414,0.0372,1.2449,-1.0806,0
13284733,0.5593,0.3481,-0.3852,0.6463,-0.1630,0.3880,0.1883,0
13284900,0.5622,0.3447,-0.3803,0.6485,-0.1923,-0.1578,0.3773,0
13285066,0.5654,0.3413,-0.3758,0.6501,-0.1009,0.4862,-0.5937,0
13285233,0.5715,0.3337,-0.3678,0.6532,0.0894,0.9853,-0.5870,0
