DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-06 12:30:27.399,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5602586,0.5404,-0.0862,-0.0608,-0.8348,0.2205,3.0347,7.3581,0
5602752,0.5449,-0.0978,-0.0554,-0.8310,0.5308,3.5575,6.2615,0
5602919,0.5483,-0.1117,-0.0496,-0.8273,0.8850,3.7674,5.2800,0
5603086,0.5517,-0.1275,-0.0429,-0.8231,0.8642,4.0900,5.2608,0
5603252,0.5540,-0.1463,-0.0349,-0.8188,0.8926,4.2365,4.8156,0
5603419,0.5544,-0.1674,-0.0242,-0.8149,1.1037,4.1649,3.1808,0
5603586,0.5535,-0.1893,-0.0115,-0.8110,0.9461,4.0256,0.8900,0
5603752,0.5504,-0.2114,0.0016,-0.8077,0.4404,3.5096,-1.7856,0
5603919,0.5447,-0.2334,0.0136,-0.8054,-0.3628,3.1437,-4.0112,0
5604086,0.5368,-0.2548,0.0232,-0.8040,-1.4376,2.6668,-5.8156,0
5604252,0.5273,-0.2749,0.0301,-0.8034,-2.4829,2.0133,-6.8822,0
5604419,0.5168,-0.2924,0.0353,-0.8038,-3.3750,1.5301,-7.5260,0
5604586,0.5059,-0.3055,0.0402,-0.8057,-3.9460,0.8595,-7.8347,0
5604752,0.4942,-0.3144,0.0450,-0.8093,-4.4754,0.0998,-8.2686,0
5604919,0.4821,-0.3184,0.0482,-0.8148,-4.7964,-0.8546,-8.5723,0
5605086,0.4708,-0.3169,0.0504,-0.8218,-5.0626,-1.6929,-9.0591,0
5605252,0.4611,-0.3098,0.0511,-0.8299,-5.0495,-2.5848,-9.2374,0
5605419,0.4538,-0.2991,0.0478,-0.8381,-4.5242,-2.8788,-8.7312,0
5605586,0.4485,-0.2875,0.0394,-0.8454,-3.5274,-2.7773,-7.4142,0
5605752,0.4444,-0.2764,0.0279,-0.8516,-2.5953,-2.3522,-5.7416,0
5605919,0.4412,-0.2656,0.0146,-0.8571,-1.9328,-2.2466,-4.5221,0
5606086,0.4386,-0.2544,0.0009,-0.8619,-1.4504,-2.5903,-3.7075,0
5606252,0.4378,-0.2425,-0.0124,-0.8657,-1.1099,-2.8314,-2.8503,0
5606419,0.4381,-0.2308,-0.0254,-0.8684,-0.7470,-2.7426,-1.9190,0
5606586,0.4398,-0.2185,-0.0370,-0.8703,-0.2912,-1.9404,-1.1527,0
5606752,0.4424,-0.2054,-0.0464,-0.8718,0.1235,-0.8943,-0.6895,0
5606919,0.4445,-0.1919,-0.0535,-0.8733,0.4483,0.0216,-0.3939,0
5607086,0.4454,-0.1792,-0.0587,-0.8753,0.5278,0.3433,0.1688,0
5607252,0.4453,-0.1667,-0.0608,-0.8776,0.0720,-0.1325,1.2504,0
5607419,0.4457,-0.1526,-0.0577,-0.8802,-0.1627,-1.3167,1.2310,0
5607586,0.4478,-0.1362,-0.0515,-0.8822,0.2582,-2.6650,-0.3421,0
5607752,0.4521,-0.1196,-0.0462,-0.8827,0.4439,-2.5726,-0.2157,0
5607919,0.4582,-0.1039,-0.0442,-0.8816,0.5517,-2.23
